Gene	GC	Length
ENSG00000260445.CTD-3244O18.5	38.89	53
ENSG00000203315.AC015815.2	50.81	123
ENSG00000065534.MYLK	45.34	274282
ENSG00000124313.IQSEC2	49.96	88464
ENSG00000091732.ZC3HC1	44.46	33165
ENSG00000233260.RPSAP63	51.24	887
ENSG00000095319.NUP188	46.07	59397
ENSG00000225626.RP11-109D9.3	44.22	1756
ENSG00000173264.GPR137	56.27	19438
ENSG00000261439.CTD-2050B12.2	52.13	1904
ENSG00000207512.Y_RNA	42.16	101
ENSG00000237474.AC233263.3	51.26	276
ENSG00000236489.RP11-537I16.2	45.15	298
ENSG00000263632.AC126177.1	54.65	85
ENSG00000122545.SEPT7	36.09	104375
ENSG00000201015.U6	39.42	103
ENSG00000105875.WDR91	47.41	27726
ENSG00000248235.AC037459.4	59.11	12810
ENSG00000228764.ZNF885P	30.82	6745
ENSG00000163683.C4orf34	41.63	88169
ENSG00000184730.APOBR	62.59	4321
ENSG00000175115.PACS1	43.97	174384
ENSG00000258681.RP11-8L8.1	45.75	869
ENSG00000223544.AC005838.2	57.51	232
ENSG00000224640.SRSF1P1	49.62	519
ENSG00000101335.MYL9	58.37	8341
ENSG00000167765.AC018755.11	52.85	2597
ENSG00000148826.NKX6-2	73.97	1259
ENSG00000234714.AC009965.2	37.58	19392
ENSG00000155307.SAMSN1	36.17	98174
ENSG00000187626.ZKSCAN4	43.01	14610
ENSG00000265643.RP11-465I4.2	35.14	135067
ENSG00000240236.HNRNPA1P23	46.07	1132
ENSG00000230477.AC005034.2	64.01	488
ENSG00000260420.LA16c-444G7.2	56.75	903
ENSG00000259982.CDC37P1	58.14	1246
ENSG00000231173.AC116609.3	40.99	7879
ENSG00000075539.FRYL	36.94	282961
ENSG00000269097.AC003682.17	61.97	759
ENSG00000236680.RP11-296P7.4	55.01	1237
ENSG00000162888.C1orf147	52.91	6612
ENSG00000124635.HIST1H2BJ	41.87	6483
ENSG00000251918.SNORD112	28.17	70
ENSG00000268735.AL139080.1	40.87	1658
ENSG00000253629.KB-1107E3.1	44.05	2546
ENSG00000099974.DDTL	51.61	5632
ENSG00000197253.TPSB2	62.93	2942
ENSG00000020181.GPR124	55.25	60705
ENSG00000258604.AL161668.5	53.94	5099
ENSG00000259793.RP11-400N9.1	51.60	2284
ENSG00000265218.RP11-927P21.1	44.56	17451
ENSG00000146556.WASH2P	54.01	14991
ENSG00000257573.RP11-496I2.5	62.01	1044
ENSG00000265656.RP11-13N13.6	43.35	8933
ENSG00000240110.XXbac-BPG254F23.6	50.12	2595
ENSG00000109466.KLHL2	38.15	115538
ENSG00000254011.CTC-229L21.1	48.11	8713
ENSG00000148082.SHC3	42.51	165622
ENSG00000227207.RP11-292O17.1	43.02	357
ENSG00000236893.ASS1P7	54.32	1225
ENSG00000239062.snoU13	39.39	98
ENSG00000007520.TSR3	62.57	2671
ENSG00000163395.IGFN1	52.47	38127
ENSG00000236090.LDHAP3	44.74	1007
ENSG00000227197.AC009518.8	38.27	18900
ENSG00000267149.CTC-550B14.6	51.22	26335
ENSG00000101321.XKR7	51.43	30451
ENSG00000108278.ZNHIT3	45.79	12681
ENSG00000253519.AC106801.1	42.52	3134
ENSG00000224652.AC139666.1	47.86	18254
ENSG00000232482.RP4-654C18.1	43.50	1314
ENSG00000257249.CR759890.1	47.58	123
ENSG00000255318.RP11-655M14.13	50.34	9025
ENSG00000228925.AC016722.4	43.95	9403
ENSG00000169900.PYDC1	61.23	1397
ENSG00000241921.AC000370.2	35.03	45215
ENSG00000177803.RP11-606P2.1	45.51	656
ENSG00000151948.GLT1D1	45.85	131537
ENSG00000225224.RP4-814D15.2	44.09	464
ENSG00000268380.LENG1	56.01	4721
ENSG00000148572.NRBF2	42.15	21733
ENSG00000139209.SLC38A4	36.56	67645
ENSG00000213213.KIAA1984	59.33	13692
ENSG00000200763.U6	40.00	104
ENSG00000240573.RP11-354H21.2	35.16	4866
ENSG00000251754.U6	44.76	104
ENSG00000222028.PSMB11	57.97	1893
ENSG00000235539.MTND1P33	36.31	916
ENSG00000146411.SLC2A12	40.99	63939
ENSG00000213337.ANKRD39	51.61	21484
ENSG00000234995.AC013429.5	39.44	780
ENSG00000100242.SUN2	54.74	59418
ENSG00000205331.OR6C72P	35.19	29326
ENSG00000255986.MT1JP	54.30	1347
ENSG00000203616.RHOT1P2	42.04	332
ENSG00000222613.Y_RNA	42.72	102
ENSG00000234858.XXbac-BPG181B23.4	43.01	5300
ENSG00000266376.AC093165.1	32.98	93
ENSG00000255142.AP006621.6	59.44	460
ENSG00000239742.Metazoa_SRP	56.83	314
ENSG00000240729.CTD-2301A4.3	42.23	475
ENSG00000238059.RP11-704J17.2	40.58	307
ENSG00000254113.RP11-174I12.2	43.00	5692
ENSG00000125726.CD70	48.30	20920
ENSG00000258443.RP3-414A15.11	47.07	3415
ENSG00000230521.HCG4P7	65.13	974
ENSG00000223482.RP11-322M19.1	41.04	138759
ENSG00000235259.TRIM15	47.12	9490
ENSG00000233461.RP11-295G20.2	41.53	6168
ENSG00000206949.U6	38.32	106
ENSG00000164548.TRA2A	41.09	27261
ENSG00000089505.CMTM1	43.30	12746
ENSG00000108826.MRPL27	47.14	5357
ENSG00000207804.MIR599	42.11	94
ENSG00000230491.RP13-228J13.10	41.39	243
ENSG00000205361.MT1DP	53.97	1081
ENSG00000259444.RP11-736N17.8	57.05	4162
ENSG00000233263.AC009518.2	43.20	999
ENSG00000259740.RP11-142J21.2	39.95	2587
ENSG00000224137.AC079767.4	42.04	4649
ENSG00000184040.TMEM236	40.75	48637
ENSG00000239865.RPP21	53.76	1755
ENSG00000269259.HUG1	64.65	1088
ENSG00000253646.CTD-2311A18.1	47.33	1140
ENSG00000124172.ATP5E	39.49	6915
ENSG00000231838.RP11-449H15.2	41.09	47923
ENSG00000238166.RP11-160C18.4	56.43	1266
ENSG00000224667.AC013470.8	42.53	1471
ENSG00000264658.MIR4798	36.00	74
ENSG00000225655.RP11-143M1.2	42.58	16125
ENSG00000238301.snoU13	35.58	103
ENSG00000238730.U7	40.32	61
ENSG00000243633.Metazoa_SRP	54.30	290
ENSG00000113810.SMC4	36.23	35688
ENSG00000170409.CTA-313A17.2	43.71	2271
ENSG00000243911.Metazoa_SRP	52.97	235
ENSG00000212133.U6	38.46	103
ENSG00000265424.RP11-508M1.9	61.77	946
ENSG00000262967.RP11-294J22.6	41.96	2001
ENSG00000124608.AARS2	54.66	13672
ENSG00000228993.GPR53P	52.68	1083
ENSG00000254060.RP11-172E10.1	38.50	3867
ENSG00000231433.WASF5P	49.42	1454
ENSG00000251859.U6	35.58	103
ENSG00000227154.MKRNP2	50.07	6822
ENSG00000225131.PSME2P2	50.71	701
ENSG00000168040.FADD	55.01	4227
ENSG00000264294.SNORD55	58.75	79
ENSG00000241200.ZNF736P7Y	33.41	819
ENSG00000251923.U6	35.42	95
ENSG00000212013.MIR509-2	43.96	90
ENSG00000204538.PSORS1C2	57.74	1814
ENSG00000202538.RNU4-2	45.39	140
ENSG00000232344.AC087163.2	54.15	1179
ENSG00000226307.RP11-471G13.3	40.36	549
ENSG00000004799.PDK4	36.07	12992
ENSG00000075073.TACR2	51.99	12964
ENSG00000215908.CROCCP2	53.25	26427
ENSG00000155265.GOLGA7B	48.46	17786
ENSG00000107185.RGP1	52.80	9369
ENSG00000258843.RP11-286O18.1	47.53	1621
ENSG00000269643.AL139396.3	54.76	83
ENSG00000257203.AL845446.1	42.16	16194
ENSG00000215179.MAPK6PS4	40.38	2141
ENSG00000266763.AL033528.1	45.95	73
ENSG00000243359.Metazoa_SRP	49.83	290
ENSG00000222591.AC118345.2	48.39	154
ENSG00000246331.RP11-77I22.2	38.63	25665
ENSG00000263326.RP11-266L9.6	44.83	1237
ENSG00000228721.AC016909.2	43.37	165
ENSG00000267140.RP11-322E11.6	42.66	54069
ENSG00000130037.KCNA5	58.57	2864
ENSG00000253197.CTD-3239E11.2	33.54	82661
ENSG00000230604.TSEN15P2	41.90	357
ENSG00000262614.AC008746.3	56.41	4046
ENSG00000264582.Metazoa_SRP	53.06	293
ENSG00000229905.RP11-206L10.4	43.19	1078
ENSG00000163319.MRPS18C	38.68	13803
ENSG00000158477.CD1A	45.10	4132
ENSG00000266031.MIR3666	48.65	110
ENSG00000213500.LAP3P2	48.76	1453
ENSG00000108511.HOXB6	54.50	10715
ENSG00000233916.ZDHHC20P1	39.95	422
ENSG00000235596.PPIAP9	49.14	811
ENSG00000130312.MRPL34	54.25	14234
ENSG00000222225.U6	39.42	103
ENSG00000221692.AC011841.7	44.58	82
ENSG00000132932.ATP8A2	41.76	653780
ENSG00000171777.RASGRP4	53.52	17250
ENSG00000255414.AP000783.2	43.32	6012
ENSG00000267152.CTD-2528L19.6	35.52	2057
ENSG00000206637.SNORA70	51.11	134
ENSG00000200361.Y_RNA	42.16	101
ENSG00000232598.RP1-90K10.4	50.77	4588
ENSG00000224963.U82695.9	63.75	1232
ENSG00000267840.BX005439.2	43.67	473
ENSG00000235827.RP11-275O4.2	58.93	2110
ENSG00000231952.AC018648.5	39.43	25813
ENSG00000112237.CCNC	35.29	26593
ENSG00000258122.RP11-61A14.1	54.54	12015
ENSG00000215595.C20orf202	47.58	4820
ENSG00000240106.Metazoa_SRP	56.90	296
ENSG00000229298.RP11-70L8.1	52.41	726
ENSG00000213433.RP11-54C4.1	50.58	519
ENSG00000251783.U6	37.74	105
ENSG00000007516.BAIAP3	65.72	15837
ENSG00000262883.RP4-669P10.18	45.11	34395
ENSG00000189223.AC016683.6	49.51	55488
ENSG00000175643.RMI2	50.87	102143
ENSG00000214561.RBBP4P4	44.45	1288
ENSG00000263462.MIR4750	75.00	55
ENSG00000238905.snoU13	40.57	105
ENSG00000206398.LY6G6C	52.88	3197
ENSG00000269696.AC007228.11	40.27	21845
ENSG00000262978.HSPB2-C11orf52	45.81	14135
ENSG00000169246.NPIPL3	45.44	46340
ENSG00000212556.Y_RNA	44.12	101
ENSG00000198157.HMGN5	36.42	88241
ENSG00000006740.ARHGAP44	42.68	202104
ENSG00000238463.snoU13	41.90	104
ENSG00000127588.GNG13	65.54	2692
ENSG00000252287.RNA5SP24	57.89	94
ENSG00000225077.LINC00337	53.88	3204
ENSG00000248802.RP11-184M15.2	44.01	18408
ENSG00000239059.snoU13	41.90	104
ENSG00000261594.TPBGL	64.91	2179
ENSG00000122958.VPS26A	39.68	49349
ENSG00000224050.RP1-90G24.6	34.70	3766
ENSG00000230268.SSU72P8	48.72	584
ENSG00000149932.TMEM219	47.42	32167
ENSG00000269711.CTD-3214H19.16	61.14	4353
ENSG00000138834.MAPK8IP3	56.84	64134
ENSG00000227427.RP1-49C23.1	40.39	972
ENSG00000260313.VPS28	63.20	4931
ENSG00000228918.GS1-122H1.2	42.18	184751
ENSG00000162139.NEU3	43.57	30759
ENSG00000140993.TIGD7	44.07	6897
ENSG00000254114.HMGN1P28	47.53	363
ENSG00000269663.GAGE1	42.97	9511
ENSG00000261286.RP11-517C16.2	51.76	8102
ENSG00000227081.RP11-543P15.1	47.83	321
ENSG00000138193.PLCE1	41.15	334403
ENSG00000214326.RPL31P1	44.09	371
ENSG00000216560.RP3-368B9.1	49.33	14116
ENSG00000255543.RP11-72M10.2	35.81	228
ENSG00000260683.CTD-2076M15.1	45.63	1899
ENSG00000229741.BTNL2	42.37	14248
ENSG00000162231.NXF1	50.07	14179
ENSG00000239253.RPS4XP20	52.32	236
ENSG00000102313.ITIH6	44.10	49341
ENSG00000216093.AC009305.2	42.39	91
ENSG00000268749.hsa-mir-513b	36.90	83
ENSG00000173890.GPR160	42.37	47474
ENSG00000242926.Metazoa_SRP	53.55	281
ENSG00000205025.OR5G5P	36.08	17852
ENSG00000197984.OR51A8P	44.68	939
ENSG00000255479.RP11-672A2.6	50.62	1372
ENSG00000232744.USP9YP16	24.84	2604
ENSG00000141979.CTD-3222D19.2	51.89	149137
ENSG00000237722.MTND1P29	41.32	1676
ENSG00000006327.TNFRSF12A	60.12	3938
ENSG00000260304.RP11-388M20.6	51.35	774
ENSG00000221244.AC116351.2	60.44	90
ENSG00000221710.MIR1298	41.07	111
ENSG00000228702.RP11-671E7.1	47.83	344
ENSG00000257801.AL929587.1	48.18	13105
ENSG00000267658.RP11-358B23.1	61.40	1372
ENSG00000238248.DASS-23B5.1	43.51	939
ENSG00000227042.RP6-1O2.1	40.32	122984
ENSG00000242507.RP3-477O4.5	50.01	8912
ENSG00000142973.CYP4B1	43.78	61575
ENSG00000159905.ZNF221	41.33	16486
ENSG00000072864.NDE1	48.54	83086
ENSG00000214190.RP11-12D24.7	59.27	603
ENSG00000227303.GS1-256O22.5	37.19	231877
ENSG00000261320.RP11-297D21.2	74.94	797
ENSG00000251585.CTD-2299E8.1	37.30	495
ENSG00000268793.RP11-344N17.7	41.48	4334
ENSG00000251907.U6	45.36	96
ENSG00000175619.OR4B1	46.65	970
ENSG00000269048.Z98049.1	53.14	2340
ENSG00000180992.MRPL14	46.15	14000
ENSG00000161542.PRPSAP1	48.20	75035
ENSG00000223390.RP11-91A18.4	43.28	10888
ENSG00000231177.GHRLOS2	48.64	1327
ENSG00000183303.OR5P2	43.69	1068
ENSG00000249588.CTC-537E7.1	40.41	6129
ENSG00000258251.RP11-256L6.4	47.16	351
ENSG00000254853.RP11-659P15.2	37.01	3060
ENSG00000248987.PRDX4P1	35.59	946
ENSG00000230457.PA2G4P4	46.53	1181
ENSG00000013573.DDX11	52.28	30946
ENSG00000214253.FIS1	51.92	12858
ENSG00000126581.BECN1	44.96	23215
ENSG00000266142.CT009552.1	27.07	132
ENSG00000130529.TRPM4	50.30	54095
ENSG00000264925.Z98949.1	55.68	87
ENSG00000133433.GSTT2B	57.38	3772
ENSG00000101367.MAPRE1	44.44	30512
ENSG00000152332.UHMK1	38.32	32378
ENSG00000218806.RP3-369A17.2	40.84	954
ENSG00000261125.HAP1	54.47	16902
ENSG00000078687.TNRC6C	42.91	104667
ENSG00000207708.MIR141	55.79	94
ENSG00000251020.RP1-50O24.8	54.72	783
ENSG00000220733.RP11-331O9.5	40.32	185
ENSG00000163162.RNF149	41.19	37482
ENSG00000254806.SYS1-DBNDD2	45.96	47410
ENSG00000232626.RP11-175B9.2	62.08	1170
ENSG00000213174.RP11-373E16.1	57.49	413
ENSG00000160062.ZBTB8A	43.71	61563
ENSG00000242244.ATP5G1P3	51.64	702
ENSG00000236279.CLEC2L	50.13	21128
ENSG00000269154.AC006539.4	40.28	565
ENSG00000258605.RP11-299L17.4	48.15	269
ENSG00000269551.RP11-434J24.2	41.28	297
ENSG00000184650.ODF4	47.31	6182
ENSG00000159788.RGS12	50.96	146885
ENSG00000066230.SLC9A3	61.34	51022
ENSG00000223187.Y_RNA	41.24	96
ENSG00000169202.AE000658.26	52.59	927
ENSG00000255304.OR4A46P	43.84	932
ENSG00000211979.IGHV7-81	56.44	488
ENSG00000125510.OPRL1	60.16	20470
ENSG00000250831.CTD-2232E5.2	36.03	3502
ENSG00000236921.RP11-408N14.1	35.41	10682
ENSG00000258689.RP6-65G23.1	46.43	13455
ENSG00000261970.RP11-342L8.2	37.06	366
ENSG00000230881.RP11-486B10.3	52.11	425
ENSG00000259726.RP11-671M22.5	58.00	10632
ENSG00000252675.RNU6-52	37.50	95
ENSG00000225505.RP11-330C7.3	42.13	1257
ENSG00000206708.U6	34.58	106
ENSG00000119559.C19orf25	62.65	18413
ENSG00000105464.GRIN2D	52.58	50056
ENSG00000268998.VN1R14P	43.72	1225
ENSG00000207569.MIR433	56.45	123
ENSG00000254459.RP11-91P24.7	42.21	42608
ENSG00000139174.PRICKLE1	41.35	132017
ENSG00000228882.CICP9	60.57	2378
ENSG00000239835.RP11-767L7.1	44.91	1128
ENSG00000196166.C8orf86	45.83	17828
ENSG00000236165.AC011816.3	56.19	524
ENSG00000177910.SPATA31C2	54.64	5680
ENSG00000239187.snoU13	39.33	88
ENSG00000185823.NPAP1	48.42	8052
ENSG00000180438.TPRXL	40.10	145555
ENSG00000229459.AC023669.1	39.33	33405
ENSG00000254533.AF186192.1	55.42	571
ENSG00000226947.RP1-52J10.9	62.15	324
ENSG00000254934.LINC00678	44.02	17001
ENSG00000120697.ALG5	39.26	50486
ENSG00000204152.TIMM23B	41.30	361551
ENSG00000253053.7SK	46.10	294
ENSG00000248487.ABHD14A	54.77	9770
ENSG00000164112.TMEM155	42.71	6494
ENSG00000265561.AC025458.1	66.00	49
ENSG00000237329.RP11-201O14.1	38.46	506
ENSG00000255458.RP11-539G18.2	43.81	27504
ENSG00000226643.RP11-358H9.1	45.78	1965
ENSG00000165533.TTC8	36.63	53838
ENSG00000076662.ICAM3	56.15	6047
ENSG00000127990.SGCE	35.25	70979
ENSG00000265485.RP11-449D8.1	41.21	34016
ENSG00000250338.RP11-395I6.2	47.36	985
ENSG00000226925.AC007271.3	39.51	9487
ENSG00000265362.AL358133.1	36.00	99
ENSG00000142279.WTIP	57.38	25465
ENSG00000153094.BCL2L11	44.43	47632
ENSG00000212479.U3	52.34	213
ENSG00000264152.MIR4640	64.44	89
ENSG00000183971.NPW	55.12	10829
ENSG00000207561.MIR635	43.88	97
ENSG00000115947.ORC4	36.07	87415
ENSG00000269395.ATP7A	38.60	139698
ENSG00000253125.RP11-459E5.1	52.43	108466
ENSG00000260815.RP11-24M17.3	47.25	490
ENSG00000264813.ACE	53.11	37025
ENSG00000175505.CLCF1	60.06	10009
ENSG00000225247.OR12D2	45.79	1032
ENSG00000251179.RP11-893F2.9	49.20	6278
ENSG00000145335.SNCA	36.12	114216
ENSG00000235209.CTA-150C2.13	49.86	3481
ENSG00000115474.KCNJ13	35.50	10104
ENSG00000196934.RIMBP3B	62.52	6104
ENSG00000187566.NHLRC1	52.06	2133
ENSG00000232722.AC139676.1	60.66	4745
ENSG00000236541.VN2R9P	55.09	952
ENSG00000212054.AL354764.1	31.71	81
ENSG00000253580.RP11-790J24.2	40.83	942
ENSG00000222721.7SK	46.37	316
ENSG00000051128.HOMER3	56.77	12060
ENSG00000174942.OR5R1	42.46	974
ENSG00000232358.RP5-955M13.4	52.12	10649
ENSG00000255693.RP11-766N7.3	40.77	94128
ENSG00000129219.PLD2	54.27	16338
ENSG00000214087.ARL16	56.96	2750
ENSG00000175509.AL078621.13	59.25	1145
ENSG00000223560.UBQLN1P1	41.75	1168
ENSG00000247131.RP11-588G21.2	36.93	24935
ENSG00000236822.RP11-137J7.2	57.04	986
ENSG00000254377.RP11-32K4.2	44.12	10459
ENSG00000263184.KIR3DL2	47.07	16749
ENSG00000214770.RP11-544I20.2	41.85	9168
ENSG00000248924.RP11-481K16.2	40.44	501
ENSG00000251747.RNU7-60P	43.55	61
ENSG00000081386.ZNF510	38.98	22264
ENSG00000176227.CTAGE15P	41.92	2659
ENSG00000252404.SCARNA16	47.83	183
ENSG00000245532.NEAT1	44.06	22766
ENSG00000251655.PRB1	40.39	43743
ENSG00000267972.DGKK	40.93	101842
ENSG00000254102.RP11-21C4.1	51.56	7582
ENSG00000237522.NONOP2	47.93	1230
ENSG00000241838.LA16c-3G11.7	57.79	1122
ENSG00000228557.RP11-560D2.2	36.45	2487
ENSG00000100968.NFATC4	56.84	13931
ENSG00000161996.WDR90	64.60	18522
ENSG00000064547.LPAR2	58.96	5262
ENSG00000235269.AL162759.1	37.76	81940
ENSG00000249176.RP11-304F15.5	50.86	697
ENSG00000259031.CTD-2062F14.3	65.40	1470
ENSG00000100360.IFT27	51.17	18054
ENSG00000123342.MMP19	51.02	7533
ENSG00000266876.RP11-1148O4.1	45.70	999
ENSG00000237133.AC020594.5	42.58	8500
ENSG00000112130.RNF8	43.66	40766
ENSG00000234912.LINC00338	49.61	8270
ENSG00000268143.RP11-69A21.2	59.29	785
ENSG00000254854.CTD-2523D13.2	47.83	10040
ENSG00000254521.SIGLEC12	50.41	10432
ENSG00000251011.RP11-402L6.1	37.82	11082
ENSG00000264738.RP11-458I7.1	45.84	1166
ENSG00000204718.CNN2P12	58.53	708
ENSG00000224658.RP11-631F7.1	42.48	45823
ENSG00000162004.CCDC78	65.24	4372
ENSG00000104892.KLC3	55.18	18086
ENSG00000173598.NUDT4	42.30	25365
ENSG00000269579.AC012314.8	58.50	5831
ENSG00000163877.SNIP1	43.16	17761
ENSG00000252346.RNA5SP121	47.52	100
ENSG00000223992.RP11-168P8.4	47.70	607
ENSG00000222389.U2	33.33	188
ENSG00000251432.RP11-420A23.1	40.23	226643
ENSG00000249854.RP11-420O16.1	35.34	25891
ENSG00000174886.NDUFA11	59.05	12730
ENSG00000228036.HSPD1P9	39.00	1635
ENSG00000134574.DDB2	46.88	24274
ENSG00000258472.RP11-192H23.4	51.06	158445
ENSG00000197153.HIST1H3J	48.75	2791
ENSG00000206337.HCP5	44.50	76804
ENSG00000232762.RP4-784A16.4	56.54	2926
ENSG00000235570.LINC00533	44.94	780
ENSG00000269527.RP11-234P3.5	37.59	789
ENSG00000250321.RP11-478C6.4	47.18	141
ENSG00000231725.VN1R110P	40.99	970
ENSG00000236521.RP11-50K12.1	55.35	3309
ENSG00000227525.RP11-282K24.1	44.13	851
ENSG00000255723.RP11-529H2.2	39.67	28040
ENSG00000228604.RP5-872K7.7	39.99	14149
ENSG00000243154.CTD-2501O3.2	39.71	767
ENSG00000147316.MCPH1	42.23	237031
ENSG00000224961.RP1-278O22.1	37.51	876
ENSG00000119203.CPSF3	42.10	49533
ENSG00000225529.BX088645.3	38.28	94878
ENSG00000266064.RP11-1055B8.2	57.31	11942
ENSG00000166091.CMTM5	58.25	2964
ENSG00000164327.RICTOR	35.53	136489
ENSG00000241723.RP11-113A11.1	49.92	612
ENSG00000252807.U6	36.89	102
ENSG00000008256.CYTH3	44.78	110868
ENSG00000265190.ANXA8	54.07	16116
ENSG00000236915.RP4-651E10.4	37.98	122022
ENSG00000258277.AC225613.10	50.22	6729
ENSG00000223577.HCG27	49.40	6256
ENSG00000120837.NFYB	39.19	21212
ENSG00000257718.RP11-396F22.1	39.18	3141
ENSG00000204655.MOG	45.69	15391
ENSG00000221573.AC099535.1	37.63	92
ENSG00000234590.GNG5P5	47.27	219
ENSG00000267778.AC004221.2	59.60	1343
ENSG00000067066.SP100	39.20	128148
ENSG00000249993.RP11-91K8.1	43.79	26507
ENSG00000187753.C9orf153	41.87	38348
ENSG00000175658.DRD5P2	61.14	3100
ENSG00000261289.RP11-170L3.5	52.23	313
ENSG00000264804.AC098848.1	31.07	102
ENSG00000228838.RP4-784A16.2	56.39	1682
ENSG00000258403.RP11-355I22.6	46.48	3213
ENSG00000242423.RP11-451N19.1	46.65	477
ENSG00000263824.AC022882.1	32.41	107
ENSG00000170099.SERPINA6	45.27	19146
ENSG00000171865.RNASEH1	45.37	13823
ENSG00000265024.AC073089.1	61.00	99
ENSG00000188263.IL17REL	58.65	18146
ENSG00000226852.RP1-212P9.2	51.29	3692
ENSG00000248600.CTD-2308B18.4	37.71	4725
ENSG00000138085.ATRAID	45.56	5151
ENSG00000248400.ST13P12	43.81	8265
ENSG00000269555.OSCAR	53.04	8067
ENSG00000225350.FREM2-AS1	38.73	5772
ENSG00000221137.AC013751.1	71.08	82
ENSG00000237999.RP11-394D2.1	57.18	1099
ENSG00000235876.FEM1AP4	63.56	1986
ENSG00000236590.AC073869.9	39.70	674
ENSG00000240520.UOX	40.15	32403
ENSG00000261614.CSDAP1	59.63	1089
ENSG00000201221.U4	37.06	142
ENSG00000228829.AC005077.5	54.56	3472
ENSG00000253004.U8	50.57	86
ENSG00000262120.RP11-510M2.7	42.28	1035
ENSG00000259809.RP11-163O19.8	61.94	1515
ENSG00000232514.RP11-329A14.2	44.30	473
ENSG00000110619.CARS	52.02	56691
ENSG00000222921.RNA5SP104	41.53	117
ENSG00000238051.ISCUP1	39.96	447
ENSG00000259000.CTD-2373J19.1	38.77	5931
ENSG00000241213.RP11-768G7.2	34.57	12239
ENSG00000188888.GPR179	54.81	18317
ENSG00000181617.FDCSP	33.59	9181
ENSG00000106617.PRKAG2	48.91	321000
ENSG00000148737.TCF7L2	44.60	217428
ENSG00000101892.ATP1B4	42.34	20259
ENSG00000255443.RP1-68D18.4	37.67	4642
ENSG00000256590.TRDV3	43.77	657
ENSG00000104435.STMN2	38.20	55348
ENSG00000266256.LINC00683	47.39	10728
ENSG00000265490.RP11-806L2.6	43.43	1125
ENSG00000128340.RAC2	57.65	19187
ENSG00000238716.AL031905.1	46.34	81
